SiteID,SiteType,SiteName,Node,ESU_DPS,MPG,POP_NAME,TRT
KEN,INT,Kenney Creek In-stream Arrays,KENA0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Lemhi River,SRLEM
KEN,INT,Kenney Creek In-stream Arrays,KENB0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Lemhi River,SRLEM
KHS,INT,Big Bear Cr. @ Kendrick HS,KHSA0,Snake River Spring/Summer-run Chinook Salmon ESU,Dry Clearwater,Polatch River,CRPOT
KHS,INT,Big Bear Cr. @ Kendrick HS,KHSB0,Snake River Spring/Summer-run Chinook Salmon ESU,Dry Clearwater,Polatch River,CRPOT
KRS,INT,SF Salmon River at Krassel Cr.,KRS,Snake River Spring/Summer-run Chinook Salmon ESU,South Fork Salmon River,South Fork Salmon River mainstem,SFMAI
LAP,INT,"Lapwai Creek, near its mouth",LAPA0,Snake River Spring/Summer-run Chinook Salmon ESU,Dry Clearwater,Lapwai/Big Canyon,CRLAP
LAP,INT,"Lapwai Creek, near its mouth",LAPB0,Snake River Spring/Summer-run Chinook Salmon ESU,Dry Clearwater,Lapwai/Big Canyon,CRLAP
LB8,INT,Big Eightmile Creek,LB8A0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Lemhi River,SRLEM
LB8,INT,Big Eightmile Creek,LB8B0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Lemhi River,SRLEM
LBS,INT,Big Springs Creek,LBSA0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Lemhi River,SRLEM
LBS,INT,Big Springs Creek,LBSB0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Lemhi River,SRLEM
LC1,INT,Lower Lolo Creek at rkm 21,LC1,Snake River Spring/Summer-run Chinook Salmon ESU,Wet Clearwater,Lolo Creek,CRLOL
LC2,INT,Upper Lolo Creek at rkm 25,LC2,Snake River Spring/Summer-run Chinook Salmon ESU,Wet Clearwater,Lolo Creek,CRLOL
LCL,INT,"Lee Creek, Lemhi R. Basin",LCLA0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Lemhi River,SRLEM
LCL,INT,"Lee Creek, Lemhi R. Basin",LCLB0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Lemhi River,SRLEM
LLR,INT,Lower Lemhi River,LLRB0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Lemhi River,SRLEM
LLR,INT,Lower Lemhi River,LLRA0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Lemhi River,SRLEM
LLS,INT,Lemhi Little Springs Instream,LLSA0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Lemhi River,SRLEM
LLS,INT,Lemhi Little Springs Instream,LLSB0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Lemhi River,SRLEM
LRL,INT,Lower Lochsa River Array Site,LRL,Snake River Spring/Summer-run Chinook Salmon ESU,Wet Clearwater,Lochsa River,CRLOC
LRU,INT,Lochsa River Upper Site,LRU,Snake River Spring/Summer-run Chinook Salmon ESU,Wet Clearwater,Lochsa River,CRLOC
LRW,INT,Lemhi River Weir,LRWB0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Lemhi River,SRLEM
LRW,INT,Lemhi River Weir,LRWA0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Lemhi River,SRLEM
LTR,INT,Lower Tucannon River,LTR,Snake River Spring/Summer-run Chinook Salmon ESU,Lower Snake,Tucannon River,SNTUC
MIS,INT,Mission Creek,MISA0,Snake River Spring/Summer-run Chinook Salmon ESU,Dry Clearwater,Lapwai/Big Canyon,CRLAP
MIS,INT,Mission Creek,MISB0,Snake River Spring/Summer-run Chinook Salmon ESU,Dry Clearwater,Lapwai/Big Canyon,CRLAP
MTR,INT,Middle Tucannon River,MTR,Snake River Spring/Summer-run Chinook Salmon ESU,Lower Snake,Tucannon River,SNTUC
NFS,INT,North Fork Salmon River,NFSA0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,North Fork Salmon River,SRNFS
NFS,INT,North Fork Salmon River,NFSB0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,North Fork Salmon River,SRNFS
PCA,INT,Panther Creek Array,PCAA0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Panther Creek,SRPAN
PCA,INT,Panther Creek Array,PCAB0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Panther Creek,SRPAN
PCM,INT,"Pine Creek Mouth, Potlatch R.",PCMA0,Snake River Spring/Summer-run Chinook Salmon ESU,Dry Clearwater,Polatch River,CRPOT
PCM,INT,"Pine Creek Mouth, Potlatch R.",PCMB0,Snake River Spring/Summer-run Chinook Salmon ESU,Dry Clearwater,Polatch River,CRPOT
RFL,INT,Redfish Lake Creek,RFL,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Salmon River upper mainstem above Redfish Lake,SRUMA
RRT,INT,Red River Satellite Facility,SC2A0,Snake River Spring/Summer-run Chinook Salmon ESU,Dry Clearwater,Upper South Fork Clearwater,SCUMA
SC1,INT,Lower SF Clearwater R at rkm 1,SC1,Snake River Spring/Summer-run Chinook Salmon ESU,Dry Clearwater,Upper South Fork Clearwater,SCUMA
SC2,INT,Lower SF Clearwater R at rkm 2,SC2B0,Snake River Spring/Summer-run Chinook Salmon ESU,Dry Clearwater,Upper South Fork Clearwater,SCUMA
SFG,INT,SF Salmon at Guard Station Br.,SFG,Snake River Spring/Summer-run Chinook Salmon ESU,South Fork Salmon River,NA,NA
STL,INT,Sawtooth Hatchery Adult Trap,STL,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Salmon River upper mainstem above Redfish Lake,SRUMA
STR,INT,SF Salmon Satellite Facility,STR,Snake River Spring/Summer-run Chinook Salmon ESU,South Fork Salmon River,South Fork Salmon River mainstem,SFMAI
SW1,INT,Lower Selway River Array,SW1,Snake River Spring/Summer-run Chinook Salmon ESU,Wet Clearwater,Meadow Creek,SEMEA
SW2,INT,Upper Selway River Array,SW2,Snake River Spring/Summer-run Chinook Salmon ESU,Wet Clearwater,Meadow Creek,SEMEA
SWT,INT,Sweetwater Cr. near its mouth,SWTA0,Snake River Spring/Summer-run Chinook Salmon ESU,Dry Clearwater,Lapwai/Big Canyon,CRLAP
SWT,INT,Sweetwater Cr. near its mouth,SWTB0,Snake River Spring/Summer-run Chinook Salmon ESU,Dry Clearwater,Lapwai/Big Canyon,CRLAP
TAY,INT,Big Creek at Taylor Ranch,TAYA0,Snake River Spring/Summer-run Chinook Salmon ESU,Middle Fork Salmon River,Big Creek,MFBIG
TAY,INT,Big Creek at Taylor Ranch,TAYB0,Snake River Spring/Summer-run Chinook Salmon ESU,Middle Fork Salmon River,Big Creek,MFBIG
UGR,INT,Upper Grande Ronde at rkm 155,UGR,NA,NA,NA,NA
UGS,INT,Upper Grande Ronde Starkey,UGSA0,Snake River Spring/Summer-run Chinook Salmon ESU,Grande Ronde / Imnaha,Grande Ronde River upper mainstem,GRUMA
UGS,INT,Upper Grande Ronde Starkey,UGSB0,Snake River Spring/Summer-run Chinook Salmon ESU,Grande Ronde / Imnaha,Grande Ronde River upper mainstem,GRUMA
USE,INT,Upper Salmon River at rkm 437,USE,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,NA,NA
USI,INT,Upper Salmon River at rkm 460,USI,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,NA,NA
